event_id,timestamp,machine,event_type,feature_1,feature_2,feature_3,feature_4,feature_5,ip_address,user_id,process,label
EVT-00001,2025-04-13 12:00:00.000000,machine1,execution_suspicious_process,0.6089,0.4587,1.0347,0.7039,0.6019,192.168.1.75,U1017,netstat.exe,malicious
EVT-00002,2025-04-13 12:01:01.563700,machine1,lateral_movement,0.1973,1.0347,1.0673,0.1014,0.7431,192.168.1.125,U1008,msiexec.exe,malicious
EVT-00003,2025-04-13 12:02:13.269421,machine1,normal_activity,0.4294,0.6387,0.7711,0.5158,0.6117,192.168.1.25,U1017,msiexec.exe,benign
EVT-00004,2025-04-13 12:02:47.705168,machine1,phishing_credential_stealer,0.7158,0.9808,1.1189,0.8179,0.6464,192.168.1.65,U1009,whoami.exe,malicious
EVT-00005,2025-04-13 12:03:23.701545,machine1,normal_activity,-0.0396,0.3416,0.9948,0.5987,0.8392,192.168.1.55,U1008,msiexec.exe,benign
EVT-00006,2025-04-13 12:03:47.573096,machine1,phishing_credential_stealer,0.4638,0.3087,1.2871,0.3467,0.8757,192.168.1.55,U1001,certutil.exe,malicious
EVT-00007,2025-04-13 12:04:57.570243,machine1,privilege_escalation,0.9618,0.6673,0.8948,1.1729,0.9225,192.168.1.135,U1017,svchost.exe,malicious
EVT-00008,2025-04-13 12:05:21.944800,machine1,execution_suspicious_process,-0.0653,1.049,0.9391,0.9231,0.51,192.168.1.95,U1003,rundll32.exe,malicious
EVT-00009,2025-04-13 12:06:19.434900,machine1,execution_suspicious_process,0.1811,1.0334,0.048,0.5786,1.2807,192.168.1.140,U1011,sc.exe,malicious
EVT-00010,2025-04-13 12:06:57.841591,machine1,exploit_cve,0.0144,1.0711,0.9652,0.7267,0.4286,192.168.1.145,U1012,nc.exe,malicious
EVT-00011,2025-04-13 12:07:33.858454,machine1,normal_activity,0.5691,-0.5937,0.168,0.6741,0.8803,192.168.1.145,U1020,whoami.exe,benign
EVT-00012,2025-04-13 12:10:26.253807,machine1,execution_suspicious_process,0.7525,0.7134,0.6884,0.4136,0.9105,192.168.1.15,U1013,notepad.exe,malicious
EVT-00013,2025-04-13 12:12:34.945029,machine1,execution_suspicious_process,0.8973,0.2888,0.6377,0.8812,0.9413,192.168.1.55,U1002,sqlservr.exe,malicious
EVT-00014,2025-04-13 12:13:32.181912,machine1,failed_login_attempts,0.5517,0.7708,1.2323,0.7589,1.3249,192.168.1.115,U1010,sqlservr.exe,malicious
EVT-00015,2025-04-13 12:14:43.756226,machine1,exploit_cve,-0.2573,0.7079,1.0836,0.9636,0.8456,192.168.1.90,U1020,nc.exe,malicious
EVT-00016,2025-04-13 12:14:52.634433,machine1,phishing_credential_stealer,1.1015,0.4542,0.5923,1.3899,1.1185,192.168.1.80,U1015,certutil.exe,malicious
EVT-00017,2025-04-13 12:15:20.444651,machine1,failed_login_attempts,0.8107,1.088,1.1768,1.1592,0.4503,192.168.1.55,U1010,whoami.exe,malicious
EVT-00018,2025-04-13 12:16:38.606323,machine1,failed_login_attempts,1.0347,0.7355,0.9984,1.1714,0.598,192.168.1.35,U1013,python.exe,malicious
EVT-00019,2025-04-13 12:17:39.986995,machine1,normal_activity,0.113,0.0948,-0.0069,1.1021,0.723,192.168.1.120,U1008,powershell.exe -enc,benign
EVT-00020,2025-04-13 12:17:54.189912,machine1,download_suspicious_domain,1.0067,0.4698,0.8138,0.8099,0.713,192.168.1.35,U1006,sc.exe,malicious
EVT-00021,2025-04-13 12:21:00.540521,machine1,normal_activity,0.314,0.5906,0.9939,1.0091,0.5902,192.168.1.90,U1012,mimikatz.exe,benign
EVT-00022,2025-04-13 12:21:02.843295,machine1,normal_activity,0.5298,0.3323,-0.1665,0.6355,0.7666,192.168.1.70,U1001,msconfig.exe,benign
EVT-00023,2025-04-13 12:22:09.645122,machine1,normal_activity,0.7388,0.6174,-0.0244,0.3549,0.6023,192.168.1.50,U1004,wmic.exe,benign
EVT-00024,2025-04-13 12:22:15.430779,machine1,exploit_cve,0.8066,-0.1681,-0.0349,0.2777,1.0364,192.168.1.20,U1003,sqlservr.exe,malicious
EVT-00025,2025-04-13 12:24:42.868709,machine1,execution_suspicious_process,0.2098,0.3661,0.8106,0.6577,0.0152,192.168.1.90,U1012,java.exe,malicious
EVT-00026,2025-04-13 12:24:48.063460,machine1,execution_suspicious_process,0.755,1.0306,0.0624,0.9352,0.8425,192.168.1.125,U1012,wmic.exe,malicious
EVT-00027,2025-04-13 12:26:21.163052,machine1,suspicious_file_download,0.6864,1.0902,0.725,0.7233,0.9895,192.168.1.65,U1010,mimikatz.exe,malicious
EVT-00028,2025-04-13 12:26:32.027568,machine1,normal_activity,-0.1505,0.6501,0.1054,-0.0687,0.9751,192.168.1.80,U1014,powershell.exe -enc,benign
EVT-00029,2025-04-13 12:31:04.459426,machine1,privilege_escalation,0.2491,0.3879,0.3126,0.3224,0.9897,192.168.1.80,U1006,taskmgr.exe,malicious
EVT-00030,2025-04-13 12:31:39.144603,machine1,phishing_credential_stealer,1.2249,0.3937,0.2865,0.3961,1.7068,192.168.1.30,U1017,msconfig.exe,malicious
EVT-00031,2025-04-13 12:32:49.601811,machine1,lateral_movement,0.2925,1.2285,0.6539,0.4596,0.7882,192.168.1.100,U1012,msiexec.exe,malicious
EVT-00032,2025-04-13 12:33:48.365163,machine1,execution_suspicious_process,0.3526,1.2933,0.5591,0.3572,0.3968,192.168.1.35,U1005,mimikatz.exe,malicious
EVT-00033,2025-04-13 12:34:28.558712,machine1,failed_login_attempts,0.4806,1.1193,1.3348,0.9269,0.4431,192.168.1.140,U1014,python.exe,malicious
EVT-00034,2025-04-13 12:35:55.080507,machine1,phishing_credential_stealer,1.0479,0.6015,0.2649,0.5362,0.0659,192.168.1.135,U1005,whoami.exe,malicious
